;max mass;min mass;max height;min height
;62;43;170;152
Head;0.638;0.029;0.017;0.7
UT;-11.7;0.297;0.046;0.84
MT;5.44;0.186;-0.055;0.7
LT;2.21;0.101;-0.009;0.63
Thigh;7.27;0.129;-0.049;0.92
Shank;-5.73;0.018;0.048;0.82
Foot;1.12;0.009;-0.006;0.72
UA;0.254;0.027;-0.003;0.77
FA;-0.625;0.008;0.005;0.75
Hand;-0.605;0.002;0.004;0.68
Length (cm);;;;
Head;-9.14;-0.126;0.244;0.54
UT;-29.5;0.1;0.328;0.63
MT;26.7;0.132;-0.125;0.41
LT;38.2;0.105;-0.13;0.28
Thigh;-26.7;-0.09;0.44;0.67
Shank;-16.2;-0.085;0.356;0.69
Foot;17.9;0.064;0.008;0.59
UA;-10.6;-0.102;0.246;0.58
FA;-4.035;-0.029;0.173;0.45
Hand;-5.66;-0.006;0.143;0.66
Ix (kg cm2);;;;
Head;-243;2.86;2.14;0.75
UT;-3900;54.8;14.5;0.86
MT;962;23.3;-11.3;0.94
LT;197;14;-2.86;0.52
Thigh;-757;23.5;2.49;0.92
Shank;-1522;1.73;10.8;0.82
Foot;8.28;0.061;-0.054;0.56
UA;-90.1;0.875;0.611;0.67
FA;-79.6;0.365;0.541;0.8
Hand;-10.4;0.042;0.065;0.78
Iy (kg cm );;;;
Head;-362;2.874;3.091;0.77
UT;-3504;40.4;14.5;0.84
MT;586;11.8;-6.14;0.76
LT;21.6;8.53;-0.788;0.68
Thigh;-618;24.1;1.61;0.82
Shank;-1422;0.651;10.2;0.81
Foot;10.7;0.234;-0.063;0.72
UA;-88.9;1.04;0.56;0.68
FA;-76.5;0.34;0.523;0.8
Hand;-11.5;0.057;0.07;0.78
Iz(kg cm2);;;;
Head;78.6;2.22;-0.129;0.64
UT;-1420;43.8;0.528;0.89
MT;586;24.1;-9.1;0.97
LT;248;19.9;-5.08;0.73
Thigh;389;7.6;-3.93;0.84
Shank;-276;0.981;1.83;0.85
Foot;10.8;0.265;-0.073;0.75
UA;8.31;0.483;-0.154;0.84
FA;-5.16;0.095;0.022;0.74
Hand;-3.37;0.03;0.017;0.87
