;max mass;min mass;max height;min height
;75.4;55.6;178;159
Head;-2.95;0.0359;0.0322;0.66
UT;25.5;0.228;-0.16;0.76
MT;-1.45;0.0975;0.0176;0.46
LT;1.1;0.104;-0.0027;0.6
Thigh;-10.9;0.213;0.038;0.94
Shank;-0.563;0.0191;0.0141;0.56
Foot;-1.27;0.0045;0.0104;0.78
UA;3.05;0.0184;-0.0164;0.68
FA;-0.481;0.0087;0.0043;0.56
Hand;-1.13;0.0031;0.0074;0.59
Length (cm);;;;
Head;-8.95;-0.0057;0.202;0.63
UT;13;0.175;0.031;0.59
MT;-2.52;-0.0459;0.116;0.26
LT;21.4;0.0146;-0.005;0.08
Thigh;-26.8;-0.0725;0.436;0.76
Shank;-7.21;-0.0618;0.308;0.88
Foot;7.39;0.0311;0.0867;0.65
UA;2.44;-0.0169;0.146;0.75
FA;-8.57;0.0494;0.18;0.73
Hand;-8.96;0.0057;0.163;0.83
Ix (kg cm2);;;;
Head;-768;2.44;5.2;0.63
UT;5096;51.1;-39.3;0.75
MT;-1042;14.5;3.7;0.55
LT;-356;12.4;1.31;0.55
Thigh;-6984;40.6;34.5;0.92
Shank;-703;2.47;5.32;0.61
Foot;-12.1;0.03;0.0781;0.55
UA;43.8;1.15;-0.202;0.59
FA;-121;0.622;0.71;0.61
Hand;-16.3;0.0409;0.102;0.64
Iy (kg cm2);;;;
Head;-952;2.7;6.5;0.62
UT;2303;34;-20.2;0.75
MT;-319;6.4;1.08;0.39
LT;-129;11;-0.79;0.59
Thigh;-6342;35.5;32.5;0.91
Shank;-690;1.86;5.22;0.62
Foot;-78.1;0.181;0.496;0.78
UA;46.1;1.11;-0.19;0.57
FA;-122;0.598;0.714;0.61
Hand;-17.6;0.0436;0.113;0.61
Iz(kg cm2);;;;
Head;-540;1.43;3.583;0.69
UT;5072;37.7;-36.5;0.81
MT;-716;18.4;0.301;0.68
LT;-314;17.5;-0.862;0.68
Thigh;-755;14.3;0.766;0.96
Shank;-21.5;1.03;0.147;0.57
Foot;-73.8;0.194;0.465;0.78
UA;69.6;0.384;-0.475;0.72
FA;-4.09;0.0841;0.0176;0.54
Hand;-2.27;0.0148;0.0157;0.45
